Energy_eV,Rate_Excess
1.199999999999999956e+00,4.372366238385438919e-03
4.950000000000000178e+00,0.000000000000000000e+00
8.699999999999999289e+00,3.651582905678732459e+03
1.244999999999999929e+01,2.797997721502245895e+03
1.619999999999999929e+01,2.083999999118500909e+03
1.994999999999999929e+01,1.689999999999727152e+03
2.369999999999999929e+01,1.400000000000000000e+03
2.744999999999999929e+01,1.208000000000000000e+03
3.119999999999999929e+01,1.011000000000000000e+03
3.495000000000000284e+01,8.170000000000000000e+02
3.870000000000000284e+01,6.710000000000000000e+02
4.245000000000000284e+01,5.460000000000000000e+02
4.620000000000000284e+01,4.050000000000000000e+02
4.995000000000000284e+01,3.360000000000000000e+02
5.370000000000000284e+01,2.730000000000000000e+02
5.745000000000000284e+01,2.010000000000000000e+02
6.120000000000000284e+01,1.480000000000000000e+02
6.495000000000000284e+01,1.110000000000000000e+02
6.870000000000000284e+01,8.000000000000000000e+01
7.245000000000000284e+01,6.000000000000000000e+01
7.620000000000000284e+01,3.300000000000000000e+01
